,uid,apply_type,cet4,cet6,grade_points,honour,project,ranking_absolu,ranking,level,location,label,score
11,18,0,563,442,0.9525,"['[ 101 1059 1744 1920 ...    0    0    0    0]', '[ 101 4384  924 4761 ...    0    0    0    0]', '[ 101 7946 7987 3736 ...    0    0    0    0]', '[ 101 3563 5745 1730 ...    0    0    0    0]', '[ 101 2170  969 4852 ...    0    0    0    0]', '[ 101  676 1962 2110 ...    0    0    0    0]', '[ 101  831 4899 2110 ...    0    0    0    0]', '[ 101 5709 5686 2825 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",11.16666667,6,2,23,0,0
12,19,0,427,372,0.965,"['[ 101 8136  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",30.33333333,3,2,23,0,0
13,20,0,552,473,0.82,"['[ 101 1736 1106 3344 ...    0    0    0    0]', '[ 101 1724 2335 4689 ...    0    0    0    0]', '[ 101 2904 2773 3344 ...    0    0    0    0]', '[ 101 3717 1759  924 ...    0    0    0    0]', '[ 101  100 7029 6637 ...    0    0    0    0]', '[ 101  831 4899 1066 ...    0    0    0    0]', '[ 101  831 4899 2110 ...    0    0    0    0]', '[ 101  831 4899 1066 ...    0    0    0    0]', '[ 101 4852  833 2141 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', '[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",164,1,2,51,0,0
14,21,0,451,0,0.925,"['[ 101 1946 2110 7032 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",10,3,2,22,0,0
15,23,0,510,458,0.802,"['[ 101 2170  969 4852 ...    0    0    0    0]', '[ 101  831 4899 1730 ...    0    0    0    0]', '[ 101  831 4899 2110 ...    0    0    0    0]', '[ 101 3264  969 4852 ...    0    0    0    0]', '[ 101 3563 5745 1730 ...    0    0    0    0]', '[ 101  676 1962 2110 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 7368 5277 1920 ...    0    0    0    0]', '[ 101 7368 5277 1920 ...    0    0    0    0]', '[ 101 7368 5277 1920 ...    0    0    0    0]', '[ 101 7368 5277 1920 ...    0    0    0    0]', '[ 101 7368 5277 1920 ...    0    0    0    0]', '[ 101 7368 5277 1920 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",12.70588235,17,2,23,0,0
16,26,0,486,0,0.88,"['[ 101  676 1158 2904 ...    0    0    0    0]', '[ 101 2904 2773 3344 ...    0    0    0    0]', '[ 101 2904 2773 3344 ...    0    0    0    0]', '[ 101 4689 6817  833 ...    0    0    0    0]', '[ 101  100  831 4899 ...    0    0    0    0]', '[ 101  100  831 4899 ...    0    0    0    0]', '[ 101  100  831 4899 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101  740 3333 2920 ...    0    0    0    0]', '[ 101  740 3333 2920 ...    0    0    0    0]', '[ 101  740 3333 2920 ...    0    0    0    0]', '[ 101  740 3333 2920 ...    0    0    0    0]', '[ 101  740 3333 2920 ...    0    0    0    0]', '[ 101  740 3333 2920 ...    0    0    0    0]', '[ 101  740 3333 2920 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",59,1,1,37,0,0
17,27,0,477,0,0.8525,"['[ 101  100 7413 7916 ...    0    0    0    0]', '[ 101 7413 7916 3344 ...    0    0    0    0]', '[ 101 3413  753 5023 ...    0    0    0    0]', '[ 101 3413  676 1962 ...    0    0    0    0]', '[ 101  831 4899 5852 ...    0    0    0    0]', '[ 101  753 5023 1946 ...    0    0    0    0]', '[ 101  676 1962 2110 ...    0    0    0    0]', '[ 101 4384  924 4761 ...    0    0    0    0]', '[ 101 4384  924 4761 ...    0    0    0    0]', '[ 101 7564 7344 5687 ...    0    0    0    0]', '[ 101  100 2157  740 ...    0    0    0    0]', '[ 101  831 4899 2110 ...    0    0    0    0]', '[ 101  831 4899 4851 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0]]","['[ 101 3312 7450 5826 ...    0    0    0    0]', '[ 101 3312 7450 5826 ...    0    0    0    0]', '[ 101 3312 7450 5826 ...    0    0    0    0]', '[ 101 3312 7450 5826 ...    0    0    0    0]', '[ 101 3312 7450 5826 ...    0    0    0    0]', '[ 101 3312 7450 5826 ...    0    0    0    0]', '[ 101 3312 7450 5826 ...    0    0    0    0]', '[ 101 3312 7450 5826 ...    0    0    0    0]', '[ 101 3312 7450 5826 ...    0    0    0    0]', '[ 101 3312 7450 5826 ...    0    0    0    0]', '[ 101 3312 7450 5826 ...    0    0    0    0]', '[ 101 3312 7450 5826 ...    0    0    0    0]', '[ 101 3312 7450 5826 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0]]",11,1,1,21,0,0
18,29,0,495,481,0.884,"['[ 101 5101 1065 6392 ...    0    0    0    0]', '[ 101 1736 1106 3344 ...    0    0    0    0]', '[ 101 1744 2157 1225 ...    0    0    0    0]', '[ 101 7599 3250 1736 ...    0    0    0    0]', '[ 101  691 4940 3344 ...    0    0    0    0]', '[ 101 3490 4289 1736 ...    0    0    0    0]', '[ 101 3152 1265 1158 ...    0    0    0    0]', '[ 101 1139 1744 8020 ...    0    0    0    0]', '[ 101 2456 5029 2110 ...    0    0    0    0]', '[ 101 2456 5029 2110 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 5988 3983 2272 ...    0    0    0    0]', '[ 101 1336 7305 2356 ...    0    0    0    0]', '[ 101 5988 3983 2272 ...    0    0    0    0]', '[ 101 1336 7305 2356 ...    0    0    0    0]', '[ 101 5988 3983 2272 ...    0    0    0    0]', '[ 101 1336 7305 2356 ...    0    0    0    0]', '[ 101 5988 3983 2272 ...    0    0    0    0]', '[ 101 1336 7305 2356 ...    0    0    0    0]', '[ 101 5988 3983 2272 ...    0    0    0    0]', '[ 101 1336 7305 2356 ...    0    0    0    0]', '[ 101 5988 3983 2272 ...    0    0    0    0]', '[ 101 1336 7305 2356 ...    0    0    0    0]', '[ 101 5988 3983 2272 ...    0    0    0    0]', '[ 101 1336 7305 2356 ...    0    0    0    0]', '[ 101 5988 3983 2272 ...    0    0    0    0]', '[ 101 1336 7305 2356 ...    0    0    0    0]', '[ 101 5988 3983 2272 ...    0    0    0    0]', '[ 101 1336 7305 2356 ...    0    0    0    0]', '[ 101 5988 3983 2272 ...    0    0    0    0]', '[ 101 1336 7305 2356 ...    0    0    0    0]']",34,1,1,35,0,0
19,30,0,524,492,0.99,"['[ 101 8136  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","['[ 101 8241  102    0 ...    0    0    0    0]', [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]",123,1,1,41,0,0
20,31,0,562,511,0.814,"['[ 101 1744 2157 1946 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3413  671 5023 ...    0    0    0    0]', '[ 101 8123 3413  676 ...    0    0    0    0]', '[ 101 3413 3152 1265 ...    0    0    0    0]', '[ 101  831 4899 1066 ...    0    0    0    0]', '[ 101 7368  831 4899 ...    0    0    0    0]', '[ 101 7032 1587 2140 ...    0    0    0    0]', '[ 101  831 4899 2562 ...    0    0    0    0]', '[ 101 7368  831 4899 ...    0    0    0    0]', '[ 101 7368  831 4899 ...    0    0    0    0]', '[ 101 3413  831 4899 ...    0    0    0    0]', '[ 101 7368 1054 3413 ...    0    0    0    0]', '[ 101 4852  833 2141 ...    0    0    0    0]', '[ 101 5042 1325 1169 ...    0    0    0    0]', '[ 101 5825 5709 3029 ...    0    0    0    0]', '[ 101 3029 2512 3683 ...    0    0    0    0]', '[ 101 2904 2773 3344 ...    0    0    0    0]', '[ 101 3029 2512 3683 ...    0    0    0    0]']","['[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]', '[ 101 3736 5722 4689 ...    0    0    0    0]']",44,1,2,32,0,0
