profession_id,staff_id,subject_id
-1,8010003,125200
-1,8010004,125200
-1,8010008,125200
-1,8010009,125200
-1,8010015,125200
-1,8010023,125200
-1,8010027,125200
-1,8010031,125200
-1,8010035,125200
1,8010005,10100
1,8010006,10100
1,8010009,10100
1,8010027,10100
1,8007006,25200
1,8007008,25200
1,8007007,25400
1,8010012,30101
1,8010018,30101
1,8010019,30101
1,8010024,30101
1,8010030,30101
1,8010031,30101
1,8010032,30101
1,8010033,30101
1,8010034,30101
1,8010037,30101
1,8015011,30500
1,8015013,30500
1,8015016,30500
1,8015017,30500
1,8015019,30500
1,8015023,30500
1,8010007,40200
1,8010017,40200
1,8010028,40200
1,8010036,40200
1,8010038,40200
1,8010007,45400
1,8010010,45400
1,8010013,45400
1,8010014,45400
1,8010017,45400
1,8010020,45400
1,8010021,45400
1,8010025,45400
1,8010026,45400
1,8010028,45400
1,8010036,45400
1,8010038,45400
1,8011004,50200
1,8011010,50200
1,8011016,50200
1,8011026,50200
1,8011030,50200
1,8011003,55101
1,8011004,55101
1,8011005,55101
1,8011010,55101
1,8011012,55101
1,8011014,55101
1,8011015,55101
1,8011016,55101
1,8011017,55101
1,8011018,55101
1,8011021,55101
1,8011025,55101
1,8011026,55101
1,8011027,55101
1,8011028,55101
1,8011029,55101
1,8011030,55101
1,8011032,55101
1,8011033,55101
1,8011035,55101
1,8001006,70503
1,8001042,70503
1,8001045,70503
1,8001058,70503
1,8001072,70503
1,8001073,70503
1,8002004,71001
1,8002030,71001
1,8002049,71001
1,8002028,71002
1,8002031,71005
1,8002038,71005
1,8002052,71005
1,8002036,71007
1,8002007,71009
1,8002015,71009
1,8002018,71009
1,8002044,71009
1,8002050,71009
1,8002054,71009
1,8002006,71010
1,8002019,71010
1,8002024,71010
1,8002047,71010
1,8002029,0710Z2
1,8001009,71300
1,8001017,71300
1,8001018,71300
1,8001021,71300
1,8001031,71300
1,8001035,71300
1,8001036,71300
1,8001053,71300
1,8001060,71300
1,8001063,71300
1,8001071,71300
1,8001083,71300
1,8001084,71300
1,8003011,80201
1,8003030,80201
1,8003038,80201
1,8003037,80202
1,8003040,80202
1,8003042,80202
1,8003049,80202
1,8003007,80203
1,8003009,80203
1,8003013,80203
1,8003026,80203
1,8003045,80203
1,8003050,80203
1,8003017,80204
1,8003020,80204
1,8003003,82901
1,8003004,82901
1,8003005,82901
1,8003024,82901
1,8003034,82901
1,8003039,82901
1,8005048,82902
1,8005051,82902
1,8005052,82902
1,8005063,82902
1,8005005,82903
1,8005009,82903
1,8005011,82903
1,8005015,82903
1,8005017,82903
1,8005019,82903
1,8005020,82903
1,8005022,82903
1,8005023,82903
1,8005025,82903
1,8005026,82903
1,8005029,82903
1,8005035,82903
1,8005037,82903
1,8005038,82903
1,8005041,82903
1,8005046,82903
1,8005049,82903
1,8005050,82903
1,8005058,82903
1,8005059,82903
1,8005061,82903
1,8003028,0829Z3
1,8013004,83000
1,8013005,83000
1,8013006,83000
1,8013007,83000
1,8013008,83000
1,8013009,83000
1,8013010,83000
1,8013011,83000
1,8013013,83000
1,8013014,83000
1,8013015,83000
1,8013016,83000
1,8013017,83000
1,8013018,83000
1,8013019,83000
1,8013020,83000
1,8013021,83000
1,8013022,83000
1,8013023,83000
1,8013024,83000
1,8013025,83000
1,8013026,83000
1,8013027,83000
1,8013028,83000
1,8013030,83000
1,8013031,83000
1,8002046,83203
1,8003007,85201
1,8003009,85201
1,8003010,85201
1,8003011,85201
1,8003013,85201
1,8003017,85201
1,8003018,85201
1,8003020,85201
1,8003024,85201
1,8003026,85201
1,8003030,85201
1,8003031,85201
1,8003033,85201
1,8003038,85201
1,8003039,85201
1,8003045,85201
1,8003050,85201
1,8003051,85201
1,8003003,85210
1,8003004,85210
1,8003005,85210
1,8003008,85210
1,8003012,85210
1,8003014,85210
1,8003015,85210
1,8003027,85210
1,8003028,85210
1,8003034,85210
1,8003036,85210
1,8003037,85210
1,8003040,85210
1,8003042,85210
1,8003048,85210
1,8003049,85210
1,8003052,85210
1,8005003,85228
1,8005004,85228
1,8005006,85228
1,8005007,85228
1,8005008,85228
1,8005013,85228
1,8005014,85228
1,8005016,85228
1,8005027,85228
1,8005028,85228
1,8005030,85228
1,8005032,85228
1,8005033,85228
1,8005034,85228
1,8005036,85228
1,8005039,85228
1,8005040,85228
1,8005042,85228
1,8005043,85228
1,8005044,85228
1,8005045,85228
1,8005047,85228
1,8005048,85228
1,8005051,85228
1,8005052,85228
1,8005053,85228
1,8005056,85228
1,8005057,85228
1,8005062,85228
1,8005063,85228
1,8005064,85228
1,8005065,85228
1,8013003,85229
1,8013004,85229
1,8013005,85229
1,8013006,85229
1,8013007,85229
1,8013008,85229
1,8013009,85229
1,8013010,85229
1,8013011,85229
1,8013013,85229
1,8013014,85229
1,8013015,85229
1,8013016,85229
1,8013017,85229
1,8013018,85229
1,8013019,85229
1,8013020,85229
1,8013021,85229
1,8013022,85229
1,8013023,85229
1,8013024,85229
1,8013026,85229
1,8013027,85229
1,8013028,85229
1,8013030,85229
1,8013031,85229
1,8001025,90301
1,8001032,90301
1,8001052,90301
1,8001054,90301
1,8001061,90301
1,8001065,90301
1,8001070,90301
1,8001080,90301
1,8002003,90701
1,8002008,90701
1,8002032,90701
1,8002045,90701
1,8001008,90702
1,8001016,90702
1,8001022,90702
1,8001067,90702
1,8001023,90703
1,8001028,90703
1,8001038,90703
1,8001039,90703
1,8001047,90703
1,8001064,90703
1,8001069,90703
1,8001015,90704
1,8001043,90704
1,8001046,90704
1,8001066,90704
1,8001074,90704
1,8001016,0907Z2
1,8001040,0907Z2
1,8001010,90900
1,8001041,90900
1,8001049,90900
1,8001050,90900
1,8001068,90900
1,8001077,90900
1,8001010,95131
1,8001013,95131
1,8001029,95131
1,8001041,95131
1,8001050,95131
1,8001068,95131
1,8001077,95131
1,8002021,95135
1,8002035,95135
1,8002046,95135
1,8002057,95135
1,8002058,95135
1,8001006,95136
1,8001042,95136
1,8001045,95136
1,8001058,95136
1,8001072,95136
1,8001073,95136
1,8001008,95400
1,8001014,95400
1,8001016,95400
1,8001022,95400
1,8001024,95400
1,8001030,95400
1,8001044,95400
1,8001048,95400
1,8001057,95400
1,8001059,95400
1,8001067,95400
1,8001076,95400
1,8007004,120401
1,8010004,120401
1,8010023,120401
1,8014008,130500
1,8014015,130500
