uid,status,subject,professor,college,school,remarks,subject_re,college_re,school_re,remark_re,create_at,update_at,live_check_status,live_check_staff
67,2,0,0,0,0,,0,0,0,,2019/9/12 14:09,2019/9/12 14:09,13,
68,10,0,0,0,0,,0,0,0,,2019/9/12 14:23,2019/10/10 10:57,13,
70,-5,0,0,0,0,,0,0,0,,2019/9/12 14:42,2019/9/29 15:39,13,
71,5,0,0,0,0,,0,0,0,,2019/9/12 14:44,2019/9/25 23:43,13,
72,2,0,0,0,0,,0,0,0,,2019/9/12 14:45,2019/9/12 14:45,13,
73,2,0,0,0,0,,0,0,0,,2019/9/12 14:49,2019/9/12 14:49,13,
74,10,0,0,0,0,,0,0,0,,2019/9/12 14:53,2019/10/10 15:42,1,8010001
75,2,0,0,0,0,,0,0,0,,2019/9/12 15:01,2019/9/12 15:01,13,
76,2,0,0,0,0,,0,0,0,,2019/9/12 15:07,2019/9/12 15:07,13,
77,2,0,0,0,0,,0,0,0,,2019/9/12 15:11,2019/9/12 15:11,13,
78,4,0,0,0,0,,0,0,0,,2019/9/12 15:20,2019/9/26 7:42,13,
79,2,0,0,0,0,,0,0,0,,2019/9/12 15:23,2019/9/12 15:23,13,
80,-3,0,0,0,0,,0,0,0,,2019/9/12 15:32,2019/9/26 12:00,13,
81,10,0,0,0,0,,0,0,0,,2019/9/12 15:33,2019/10/10 15:42,1,8010001
83,10,0,0,0,0,,0,0,0,,2019/9/12 15:42,2019/10/17 14:41,13,
84,3,0,0,0,0,,0,0,0,,2019/9/12 15:44,2019/9/21 20:23,13,
85,6,0,0,0,0,,0,0,0,,2019/9/12 15:52,2019/9/26 8:58,13,
86,3,0,0,0,0,,0,0,0,,2019/9/12 16:03,2019/9/12 16:38,13,
87,6,0,0,0,0,,0,0,0,,2019/9/12 16:17,2019/9/26 10:39,13,
88,3,0,0,0,0,,0,0,0,,2019/9/12 16:20,2019/9/22 10:20,13,
89,10,0,0,0,0,,0,0,0,,2019/9/12 16:22,2019/10/12 8:36,1,8005001
