uid,reexam_id
71,15
126,10
126,11
126,12
145,25
157,26
160,15
175,25
183,26
184,26
190,1
207,25
236,10
236,11
236,12
319,25
326,15
337,26
340,26
351,4
376,15
527,15
534,26
536,15
548,9
622,25
679,5
684,26
693,25
694,15
697,15
708,25
721,5
724,3
760,25
763,25
765,25
807,6
844,9
851,6
868,25
883,10
883,11
883,12
889,25
1018,26
1039,26
1079,4
1099,4
1108,3
1134,26
1145,26
