,uid,level,SSDM
264,514.0,2,11.0
265,533.0,2,11.0
266,536.0,2,11.0
267,541.0,2,11.0
268,544.0,2,11.0
269,551.0,2,11.0
270,554.0,2,11.0
271,559.0,2,11.0
272,571.0,2,11.0
273,583.0,2,11.0
274,589.0,2,11.0
275,590.0,2,11.0
276,596.0,2,11.0
277,597.0,2,11.0
278,604.0,2,11.0
279,606.0,2,11.0
280,607.0,2,11.0
281,609.0,2,11.0
282,610.0,2,11.0
283,615.0,2,11.0
284,617.0,2,11.0
285,618.0,2,11.0
286,619.0,2,11.0
287,623.0,2,11.0
288,625.0,2,11.0
289,626.0,2,11.0
290,631.0,2,11.0
291,633.0,2,11.0
292,634.0,2,11.0
293,636.0,2,11.0
294,643.0,2,11.0
295,645.0,2,11.0
296,650.0,2,11.0
297,659.0,2,11.0
298,660.0,2,11.0
299,663.0,2,11.0
300,677.0,2,11.0
301,682.0,2,11.0
302,684.0,2,11.0
303,686.0,2,11.0
304,687.0,2,11.0
305,690.0,2,11.0
306,692.0,2,11.0
307,693.0,2,11.0
308,694.0,2,11.0
309,695.0,2,11.0
310,698.0,2,11.0
311,700.0,2,11.0
312,704.0,2,11.0
313,705.0,2,11.0
314,708.0,2,11.0
315,709.0,2,11.0
316,713.0,2,11.0
317,716.0,2,11.0
318,718.0,2,11.0
319,719.0,2,11.0
320,722.0,2,11.0
321,723.0,2,11.0
322,726.0,2,11.0
323,727.0,2,11.0
324,733.0,2,11.0
325,736.0,2,11.0
326,738.0,2,11.0
327,739.0,2,11.0
328,742.0,2,11.0
329,746.0,2,11.0
330,750.0,2,11.0
331,752.0,2,11.0
332,754.0,2,11.0
333,759.0,2,11.0
334,760.0,2,11.0
335,762.0,2,11.0
336,768.0,2,11.0
337,769.0,2,11.0
338,772.0,2,11.0
339,779.0,2,11.0
340,782.0,2,11.0
341,784.0,2,11.0
342,802.0,2,11.0
343,804.0,2,11.0
344,808.0,2,11.0
345,815.0,2,11.0
346,825.0,2,11.0
347,827.0,2,11.0
348,828.0,2,11.0
349,831.0,2,11.0
350,837.0,2,11.0
351,838.0,2,11.0
352,845.0,2,11.0
353,849.0,2,11.0
354,855.0,2,11.0
355,864.0,2,11.0
356,868.0,2,11.0
357,869.0,2,11.0
358,872.0,2,11.0
359,877.0,2,11.0
360,878.0,2,11.0
361,883.0,2,11.0
362,885.0,2,11.0
363,889.0,2,11.0
364,890.0,2,11.0
365,891.0,2,11.0
366,897.0,2,11.0
367,899.0,2,11.0
368,900.0,2,11.0
369,903.0,2,11.0
370,904.0,2,11.0
371,907.0,2,11.0
372,909.0,2,11.0
373,920.0,2,11.0
374,924.0,2,11.0
375,925.0,2,11.0
376,926.0,2,11.0
377,928.0,2,11.0
378,931.0,2,11.0
379,933.0,2,11.0
380,934.0,2,11.0
381,935.0,2,11.0
382,936.0,2,11.0
383,937.0,2,11.0
384,942.0,2,11.0
385,943.0,2,11.0
386,946.0,2,11.0
387,947.0,2,11.0
388,950.0,2,11.0
389,954.0,2,11.0
390,955.0,2,11.0
391,956.0,2,11.0
392,958.0,2,11.0
393,959.0,2,11.0
394,960.0,2,11.0
395,961.0,2,11.0
396,962.0,2,11.0
397,963.0,2,11.0
398,964.0,2,11.0
399,965.0,2,11.0
400,966.0,2,11.0
401,967.0,2,11.0
402,968.0,2,11.0
403,971.0,2,11.0
404,972.0,2,11.0
405,973.0,2,11.0
406,974.0,2,11.0
407,975.0,2,11.0
408,976.0,2,11.0
409,977.0,2,11.0
410,978.0,2,11.0
411,979.0,2,11.0
412,980.0,2,11.0
413,981.0,2,11.0
414,982.0,2,11.0
415,983.0,2,11.0
416,984.0,2,11.0
417,985.0,2,11.0
418,986.0,2,11.0
419,987.0,2,11.0
420,988.0,2,11.0
421,989.0,2,11.0
422,990.0,2,11.0
423,992.0,2,11.0
424,993.0,2,11.0
425,995.0,2,11.0
426,996.0,2,11.0
427,997.0,2,11.0
428,998.0,2,11.0
429,999.0,2,11.0
430,1000.0,2,11.0
431,1002.0,2,11.0
432,1003.0,2,11.0
433,1004.0,2,11.0
434,1005.0,2,11.0
435,1007.0,2,11.0
436,1008.0,2,11.0
437,1009.0,2,11.0
438,1010.0,2,11.0
439,1011.0,2,11.0
440,1012.0,2,11.0
441,1014.0,2,11.0
442,1015.0,2,11.0
443,1016.0,2,11.0
444,1019.0,2,11.0
445,1020.0,2,11.0
446,1021.0,2,11.0
447,1022.0,2,11.0
448,1023.0,2,11.0
449,1024.0,2,11.0
450,1026.0,2,11.0
451,1027.0,2,11.0
452,1033.0,2,11.0
453,1034.0,2,11.0
454,1035.0,2,11.0
455,1036.0,2,11.0
456,1038.0,2,11.0
457,1039.0,2,11.0
458,1042.0,2,11.0
459,1044.0,2,11.0
460,1045.0,2,11.0
461,1046.0,2,11.0
462,1047.0,2,11.0
463,1048.0,2,11.0
464,1049.0,2,11.0
465,1050.0,2,11.0
466,1051.0,2,11.0
467,1052.0,2,11.0
468,1053.0,2,11.0
469,1054.0,2,11.0
470,1055.0,2,11.0
471,1058.0,2,11.0
472,1060.0,2,11.0
473,1061.0,2,11.0
474,1064.0,2,11.0
