,uid,apply_type,cet4,cet6,grade_points,honour,project,ranking_absolu,ranking,level,location,label,score
14,19,0.0,427.0,372.0,0.965,nannannan,nannannan,30.33333333333333,3.0,2.0,23.0,0.0,0.0
15,20,0.0,552.0,473.0,0.82,园冶杯第十届“园冶杯”国际大学生竞赛课程设计类作品荣誉奖省市级四川省风景园林竞赛四川省大学生风景园林设计竞赛三等奖（个人）省市级挑战杯第十六届“挑战杯”全国大学生课外学术 科技作品竞赛校内预选赛特等奖校级水土保持景观大赛水土保持与生态景观设计大赛一等奖校级“野趣杯”景观大赛“野趣生境杯”生态景观设计大赛一等奖校级优秀共青团员2016-2017学年度“优秀共青团员”校级优秀学生2016-2017学年度“优秀学生”校级优秀共青团干部2017-2018学年度“优秀共青团干部”校级社会实践先进个人2017年暑期“三下乡”社会实践活动“先进个人”校级,nannannan,164.0,1.0,2.0,51.0,0.0,0.0
16,21,0.0,451.0,0.0,0.925,奖学金nan院级,nannannan,10.0,3.0,2.0,22.0,0.0,0.0
18,23,0.0,510.0,458.0,0.8019999999999999,寒假社会实践积极分子nan校级优秀团员nan校级优秀学生干部nan校级暑假社会实践积极分子nan校级模范团干部nan校级三好学生nan院级,院级大学生创新训练项目结项证书其他,12.705882352941178,17.0,2.0,23.0,0.0,0.0
19,24,0.0,564.0,581.0,0.95,国家励志奖学金nan国家级校‘三好学生’nan校级《大学英语》单科竞赛nan校级Spelling Bee单词拼写nan校级校二等奖学金nan院级校三好学生nan校级微专业优学员网易数据分析师微专业优秀学员微专业其他,基于TensorFlow框架的神经网络猫狗分类器实现使用CNN成功实现图片的分类其他基于QGIS的城市餐饮店铺选址分析与可视化，得到较好选址的网格位置的中心点坐标及所属区域，制作散点图进行标记，在徐汇区附近。其他房价影响因素挖掘看出上海房价市场的“中心城区-郊区”分化特征。其他信用卡欺诈检测 可以提供的信息检测出信用卡是否存在欺诈嫌疑其他电商打折套路解析发现有的品牌存在换烫不换药的情况，但双11的确是前后十天内价格最低的一天其他,44.5,2.0,1.0,41.0,1.0,81.8
20,25,0.0,566.0,473.0,0.8967,2018年度黄岛园林杯2018年度山东省大学生“黄岛园林杯”风景园林优秀设计（论文）大赛省市级2014-2015年优秀学生2014-2015年优秀学生校级2014-2015一等奖学金nan校级2014-2015优秀团员nan校级,nannannan,60.0,1.0,1.0,37.0,1.0,72.23
21,26,0.0,486.0,0.0,0.8800000000000001,三创挑战赛第八届全国大学生电子商务“创新、创意及创业”挑战赛《WATCHMEN防狼手环》获省三等奖省市级挑战杯院特等奖“挑战杯”全国大学生课外学术科技作品竞赛获院特等奖院级挑战杯院san'deng'jia学生社会调研大赛暨挑战杯课外学术科技作品竞赛《互联网+时代下零售业出路何在——以沃尔玛为例》获院三等奖院级省运会山东省第十四届学生运动会女子甲组1500米第八名省市级“优秀学生干部”nan院级“优秀学习标兵”nan院级“优秀班助”nan院级,乡村振兴战略下农村零售企业社会责任影响因素研究未结项国家级,59.0,1.0,1.0,37.0,0.0,0.0
22,27,0.0,477.0,0.0,0.8525,“雄鹰杯”竞赛nan校级雄鹰杯”竞赛nan校级校二等奖学金nan校级校三好学生nan校级优秀营员nan院级二等奖学金nan校级三好学生nan校级环保知识竞赛nan国家级环保知识比赛nan国家级预防艾滋病知识竞赛nan国家级“家乡话”竞赛nan院级优秀学生干部nan校级优秀礼仪nan校级,木霉菌促进煤矸石生态复垦的机制和生态风险评估研究nannan,11.0,1.0,1.0,21.0,0.0,0.0
23,28,0.0,532.0,470.0,0.8895000000000001,北京市数学竞赛三等奖北京市数学竞赛三等奖省市级三好学生2016-2017年三好学生校级优秀学生二等奖2016-2017优秀学生二等奖学金校级,nannannan,3.75,8.0,2.0,11.0,1.0,93.8
24,29,0.0,495.0,481.0,0.884,米兰设计周高校作品展2019年米兰设计周中国高校设计学科师生优秀作品展学生组二等奖，参赛作品《境随时迁——生物友好型滨水绿地规划设计》国家级园冶杯大学生国际竞赛2018“园冶杯”大学生国际竞赛 主题竞赛类荣誉奖，作品《香如故——台中花博会园区景观设计》。国家级国家励志奖学金2017-2018学年“国家励志奖学金”，并且在2015-2016、2016-2017年同样获得该奖项。国家级风景园林规划设计竞赛2019年福建省大学生风景园林规划设计竞赛本科生组金奖，作品《新城?逸境——集美新城核心区景观体系规划》。省市级东稻杯环境艺术大赛2019“东稻杯”福建省高校学生环境艺术大赛铜奖，作品《未曾开拓之路——高校绿地景观改造提升方案设计》。省市级植物园杯景观设计大赛“植物园杯”第七届“筑景”景观设计大赛一等奖，作品《爱与梦》。省市级文化创新创意大赛第二届 华侨大学大学生文化创新创意大赛文创产品类三等奖，作品《一眼千年——特色文创》隐形眼镜校级出国（境）交流突出奖2018年度华侨大学学生出国（境）交流“突出表现奖”一等奖。校级建筑学院作品集大赛华侨大学建筑学院2019“永久奋斗”第四届作品集大赛一等奖院级建筑学院三好学生2017-2018学年华侨大学建筑学院三好学生院级,虎溪岩寺调研测绘包含《厦门市虎溪岩寺调报告——对虎溪岩寺山石、建筑、小品的调查研究》、《虎溪岩寺测绘图集》等内容的全套调研测绘文本其他厦门市大同路街道资源调查与分析《大同路资源调研与分析报告》其他,34.0,1.0,1.0,35.0,0.0,0.0
