,uid,honour
101,23.0,三好学生nan院级
102,24.0,国家励志奖学金nan国家级
103,24.0,校‘三好学生’nan校级
104,24.0,《大学英语》单科竞赛nan校级
105,24.0,Spelling Bee单词拼写nan校级
106,24.0,校二等奖学金nan院级
107,24.0,校三好学生nan校级
108,24.0,微专业优学员网易数据分析师微专业优秀学员微专业其他
109,25.0,2018年度黄岛园林杯2018年度山东省大学生“黄岛园林杯”风景园林优秀设计（论文）大赛省市级
110,25.0,2014-2015年优秀学生2014-2015年优秀学生校级
111,25.0,2014-2015一等奖学金nan校级
112,25.0,2014-2015优秀团员nan校级
113,26.0,三创挑战赛第八届全国大学生电子商务“创新、创意及创业”挑战赛《WATCHMEN防狼手环》获省三等奖省市级
114,26.0,挑战杯院特等奖“挑战杯”全国大学生课外学术科技作品竞赛获院特等奖院级
115,26.0,挑战杯院san'deng'jia学生社会调研大赛暨挑战杯课外学术科技作品竞赛《互联网+时代下零售业出路何在——以沃尔玛为例》获院三等奖院级
116,26.0,省运会山东省第十四届学生运动会女子甲组1500米第八名省市级
117,26.0,“优秀学生干部”nan院级
118,26.0,“优秀学习标兵”nan院级
119,26.0,“优秀班助”nan院级
120,27.0,“雄鹰杯”竞赛nan校级
121,27.0,雄鹰杯”竞赛nan校级
122,27.0,校二等奖学金nan校级
123,27.0,校三好学生nan校级
124,27.0,优秀营员nan院级
125,27.0,二等奖学金nan校级
126,27.0,三好学生nan校级
127,27.0,环保知识竞赛nan国家级
128,27.0,环保知识比赛nan国家级
129,27.0,预防艾滋病知识竞赛nan国家级
130,27.0,“家乡话”竞赛nan院级
131,27.0,优秀学生干部nan校级
132,27.0,优秀礼仪nan校级
133,28.0,北京市数学竞赛三等奖北京市数学竞赛三等奖省市级
134,28.0,三好学生2016-2017年三好学生校级
135,28.0,优秀学生二等奖2016-2017优秀学生二等奖学金校级
136,29.0,米兰设计周高校作品展2019年米兰设计周中国高校设计学科师生优秀作品展学生组二等奖，参赛作品《境随时迁——生物友好型滨水绿地规划设计》国家级
137,29.0,园冶杯大学生国际竞赛2018“园冶杯”大学生国际竞赛 主题竞赛类荣誉奖，作品《香如故——台中花博会园区景观设计》。国家级
138,29.0,国家励志奖学金2017-2018学年“国家励志奖学金”，并且在2015-2016、2016-2017年同样获得该奖项。国家级
139,29.0,风景园林规划设计竞赛2019年福建省大学生风景园林规划设计竞赛本科生组金奖，作品《新城?逸境——集美新城核心区景观体系规划》。省市级
140,29.0,东稻杯环境艺术大赛2019“东稻杯”福建省高校学生环境艺术大赛铜奖，作品《未曾开拓之路——高校绿地景观改造提升方案设计》。省市级
